Table	Fieldname	Field_type	Description
Acknowledgements	ack_ORCID_id	ORCID ID	Individual's ORCID Id, if available
Acknowledgements	ack_institution_name	string	Individual's department and institution name
Acknowledgements	ack_name	string	Name of individual to be acknowledged as contributing to this work
Acknowledgements	description_id	integer	
Acknowledgements	germline_set_id	integer	
Acknowledgements	submission_id	integer	
AttachedFile	filename	string	Filename as provided by user
AttachedFile	gene_description_id	integer	
AttachedFile	notes_id	integer	
AttachedFile	novel_vdjbase_id	integer	
DupeGeneNote	author	email_address	email address of author
DupeGeneNote	body	text	body text of entry
DupeGeneNote	date	date	Date submission received
DupeGeneNote	gene_description_id	integer	
DupeGeneNote	genotype_id	integer	
GeneDescription	affirmation_level	[0, 1, 2, 3]	Count of independent studies in which this allele as been affirmed by IARC (1,2,3 or more)
GeneDescription	allele_designation	string_50	Allele designation, if identified
GeneDescription	alt_names	string	Alternative names for this sequence
GeneDescription	chromosome	integer	chromosome on which the gene is located
GeneDescription	coding_seq_imgt	IUPAC GAPPED	nucleotide sequence of the coding region, aligned, in the case of a V-gene, with the IMGT numbering scheme
GeneDescription	curational_tags	['none', 'likely_truncated', 'likely_full-length']	Controlled-vocabulary tags applied to this description
GeneDescription	d_rs_3_prime_end	integer	End co-ordinate in the Full Sequence of 3 prime D recombination site (D-genes only)
GeneDescription	d_rs_3_prime_start	integer	Start co-ordinate in the Full Sequence of 3 prime D recombination site (D-genes only)
GeneDescription	d_rs_5_prime_end	integer	End co-ordinate in the Full Sequence of 5 prime D recombination site (D-genes only)
GeneDescription	d_rs_5_prime_start	integer	Start co-ordinate in the Full Sequence of 5 prime D recombination site (D-genes only)
GeneDescription	description_id	string_50	Unique identifier of this gene sequence
GeneDescription	duplicate_sequences	list of inferred sequences	
GeneDescription	end_3prime_ext	integer	End co-ordinate of 3\' extension (if any) in IMGT numbering
GeneDescription	end_5prime_ext	integer	End co-ordinate of 5\' extension (if any) in IMGT numbering
GeneDescription	ext_3prime	IUPAC_GAPPED	Extending sequence at 3\' end (IMGT gapped)
GeneDescription	ext_5prime	IUPAC_GAPPED	Extending sequence at 5\' end (IMGT gapped)
GeneDescription	functionality	['F', 'ORF', 'P']	Functionality
GeneDescription	gene_end	integer	Co-ordinate (in the sequence field) of the last gene-coding nucleotide in the coding_sequence field
GeneDescription	gene_start	integer	Co-ordinate (in the sequence field) of the first nucleotide in the coding_sequence field
GeneDescription	gene_subgroup	string_50	Gene subgroup (family), as (and if) identified for this species and gene
GeneDescription	imgt_name	string_50	The name of this sequence as assigned by IUIS
GeneDescription	inference_type	['Genomic Only', 'Rearranged Only', 'Genomic and rearranged']	Type of inference(s) from which this gene sequence was inferred (Unrearranged and Rearranged, Unrearranged Only, Rearranged Only)
GeneDescription	inferred_extension	boolean	Checked if there is an inferred extension to the canonical sequence
GeneDescription	inferred_sequences	list of inferred sequences	
GeneDescription	j_cdr3_end	integer	In the case of a J-gene, the co-ordinate in the Coding Sequence of the first nucelotide of the conserved PHE or TRP (IMGT codon position 118)
GeneDescription	j_codon_frame	[1, 2, 3]	Codon position of the first sequence symbol in the Coding Sequence. Mandatory for J genes. Not used for V or D genes. ('1' means the sequence is in-frame, '2' means that the first bp is missing from the first codon, '3' means that the first 2 bp are missing)
GeneDescription	j_rs_end	integer	End co-ordinate in the Full Sequence of J recombination site (J-genes only)
GeneDescription	j_rs_start	integer	Start co-ordinate in the Full Sequence of J recombination site (J-genes only)
GeneDescription	lab_address	string	Institution and full address of corresponding author
GeneDescription	leader_1_end	integer	End co-ordinate in the Full Sequence of L-PART1 (V-genes only)
GeneDescription	leader_1_start	integer	Start co-ordinate in the Full Sequence of L-PART1 (V-genes only)
GeneDescription	leader_2_end	integer	End co-ordinate in the Full Sequence of L-PART2 (V-genes only)
GeneDescription	leader_2_start	integer	Start co-ordinate in the Full Sequence of L-PART2 (V-genes only)
GeneDescription	locus	['IGH', 'IGK', 'IGL', 'TRA', 'TRB', 'TRG', 'TRD']	Gene locus
GeneDescription	maintainer	string_50	Maintainer of this sequence record
GeneDescription	mapped	boolean	Whether the gene has been mapped to a specific location in the chromosome
GeneDescription	notes	text	Notes
GeneDescription	notes_attachment	multifile	File attachments from submitter accompanying submission
GeneDescription	paralog_rep	boolean	If true, use the name of this allele in sequence-distinct datasets. If no representative is specified, the paralog with the lowest gene number is used.
GeneDescription	paralogs	string	Canonical names of 0 or more paralogs
GeneDescription	release_date	date	Date of this release
GeneDescription	release_description	text	Brief descriptive notes of the reason for this release and the changes embodied
GeneDescription	release_version	integer	Version number of this record, updated whenever a revised version is published or released
